source,target,weight,lsrp
isophonics_0,isophonics_2,0.13664596273291924,"[(10, 106, 131)]"
isophonics_0,isophonics_3,0.21164021164021163,"[(10, 106, 10, 106, 10)]"
isophonics_0,isophonics_5,0.1464285714285714,"[(106, 131, 10)]"
isophonics_0,isophonics_8,0.20634920634920634,"[(227, 10, 106, 10)]"
isophonics_0,isophonics_12,0.1291208791208791,"[(106, 10, 106), (227, 10, 106), (10, 106, 131)]"
isophonics_0,isophonics_15,0.19642857142857142,"[(106, 227, 10)]"
isophonics_0,isophonics_19,0.22857142857142856,"[(106, 227, 10, 106), (10, 106, 264, 227)]"
isophonics_0,isophonics_21,0.2277432712215321,"[(10, 106, 10, 106, 10)]"
isophonics_0,isophonics_28,0.39682539682539686,"[(10, 106, 10, 106, 10)]"
isophonics_0,isophonics_30,0.15773809523809523,"[(238, 227, 10, 106), (106, 227, 10, 106)]"
isophonics_0,isophonics_31,0.15037593984962405,"[(227, 10, 106), (10, 106, 131)]"
isophonics_0,isophonics_32,0.1464285714285714,"[(106, 10, 106), (227, 10, 106)]"
isophonics_0,isophonics_33,0.10714285714285714,"[(10, 106, 10), (10, 106, 264)]"
isophonics_0,isophonics_34,0.10551948051948051,"[(106, 264, 227)]"
isophonics_0,isophonics_39,0.11585665193912616,"[(106, 227, 10, 106)]"
isophonics_0,isophonics_43,0.19523809523809524,"[(10, 106, 10, 106)]"
isophonics_0,isophonics_45,0.18614718614718614,"[(106, 227, 10, 106), (10, 106, 264, 227)]"
isophonics_0,isophonics_46,0.0992063492063492,"[(227, 10, 106)]"
isophonics_0,isophonics_47,0.15406162464985995,"[(10, 106, 10, 106), (106, 227, 10, 106)]"
isophonics_0,isophonics_48,0.17142857142857143,"[(106, 10, 106), (106, 131, 10), (10, 106, 131)]"
isophonics_0,isophonics_51,0.13392857142857142,"[(227, 10, 106), (10, 106, 131)]"
isophonics_0,isophonics_52,0.13523809523809524,"[(106, 227, 10, 106), (10, 106, 264, 227)]"
isophonics_0,isophonics_53,0.47619047619047616,"[(10, 106, 10, 106, 10)]"
isophonics_0,isophonics_57,0.15238095238095237,"[(106, 227, 10, 106)]"
isophonics_0,isophonics_58,0.2857142857142857,"[(106, 264, 227)]"
isophonics_0,isophonics_60,0.10334346504559269,"[(227, 10, 106)]"
isophonics_0,isophonics_62,0.22142857142857142,"[(227, 10, 106)]"
isophonics_0,isophonics_67,0.13142857142857142,"[(227, 10, 106), (10, 106, 131)]"
isophonics_0,isophonics_72,0.13392857142857142,"[(106, 10, 106)]"
isophonics_0,isophonics_73,0.09685230024213075,"[(10, 106, 131)]"
isophonics_0,isophonics_76,0.125,"[(106, 131, 10)]"
isophonics_0,isophonics_78,0.16666666666666666,"[(227, 10, 106, 10)]"
isophonics_0,isophonics_79,0.10631229235880399,"[(106, 10, 106)]"
isophonics_0,isophonics_81,0.22142857142857142,"[(227, 10, 106)]"
isophonics_0,isophonics_82,0.13968253968253969,"[(106, 227, 10, 106)]"
isophonics_0,isophonics_93,0.09415584415584416,"[(131, 10, 131)]"
isophonics_0,isophonics_96,0.15476190476190477,"[(106, 10, 106)]"
isophonics_0,isophonics_108,0.10267857142857142,"[(106, 10, 106)]"
isophonics_0,isophonics_114,0.26190476190476186,"[(10, 106, 10, 106)]"
isophonics_0,isophonics_116,0.125,"[(291, 131, 238)]"
isophonics_0,isophonics_117,0.18681318681318682,"[(106, 227, 10)]"
isophonics_0,isophonics_121,0.1291208791208791,"[(227, 10, 106)]"
isophonics_0,isophonics_127,0.17857142857142855,"[(106, 227, 10, 106)]"
isophonics_0,isophonics_128,0.20050125313283207,"[(106, 227, 10, 106)]"
isophonics_0,isophonics_133,0.16517857142857142,"[(10, 106, 131)]"
isophonics_0,isophonics_135,0.16420361247947454,"[(106, 227, 10, 106)]"
isophonics_0,isophonics_136,0.15079365079365079,"[(106, 227, 10, 106)]"
isophonics_0,isophonics_147,0.14285714285714285,"[(227, 10, 106)]"
isophonics_0,isophonics_149,0.22023809523809523,"[(106, 10, 106, 10), (10, 106, 10, 106)]"
isophonics_0,isophonics_150,0.15476190476190477,"[(10, 131, 291), (227, 10, 106), (10, 106, 131)]"
isophonics_0,isophonics_152,0.17216117216117216,"[(10, 106, 10, 106)]"
isophonics_0,isophonics_156,0.2490842490842491,"[(227, 10, 106, 10), (106, 10, 106, 10)]"
isophonics_0,isophonics_157,0.3273809523809524,"[(106, 10, 106, 264, 227)]"
isophonics_0,isophonics_165,0.15079365079365079,"[(106, 227, 10, 106)]"
isophonics_0,isophonics_166,0.22142857142857142,"[(106, 10, 106)]"
