source,target,weight
isophonics_0,isophonics_2,0.1366459627329192
isophonics_0,isophonics_3,0.2116402116402116
isophonics_0,isophonics_5,0.1464285714285714
isophonics_0,isophonics_8,0.2063492063492063
isophonics_0,isophonics_12,0.1291208791208791
isophonics_0,isophonics_15,0.1964285714285714
isophonics_0,isophonics_19,0.2285714285714285
isophonics_0,isophonics_21,0.2277432712215321
isophonics_0,isophonics_28,0.3968253968253968
isophonics_0,isophonics_30,0.1577380952380952
isophonics_0,isophonics_31,0.150375939849624
isophonics_0,isophonics_32,0.1464285714285714
isophonics_0,isophonics_33,0.1071428571428571
isophonics_0,isophonics_34,0.1055194805194805
isophonics_0,isophonics_39,0.1158566519391261
isophonics_0,isophonics_43,0.1952380952380952
isophonics_0,isophonics_45,0.1861471861471861
isophonics_0,isophonics_46,0.0992063492063492
isophonics_0,isophonics_47,0.1540616246498599
isophonics_0,isophonics_48,0.1714285714285714
isophonics_0,isophonics_51,0.1339285714285714
isophonics_0,isophonics_52,0.1352380952380952
isophonics_0,isophonics_53,0.4761904761904761
isophonics_0,isophonics_57,0.1523809523809523
isophonics_0,isophonics_58,0.2857142857142857
isophonics_0,isophonics_60,0.1033434650455926
isophonics_0,isophonics_62,0.2214285714285714
isophonics_0,isophonics_67,0.1314285714285714
isophonics_0,isophonics_72,0.1339285714285714
isophonics_0,isophonics_73,0.0968523002421307
isophonics_0,isophonics_76,0.125
isophonics_0,isophonics_78,0.1666666666666666
isophonics_0,isophonics_79,0.1063122923588039
isophonics_0,isophonics_81,0.2214285714285714
isophonics_0,isophonics_82,0.1396825396825396
isophonics_0,isophonics_93,0.0941558441558441
isophonics_0,isophonics_96,0.1547619047619047
isophonics_0,isophonics_108,0.1026785714285714
isophonics_0,isophonics_114,0.2619047619047618
isophonics_0,isophonics_116,0.125
isophonics_0,isophonics_117,0.1868131868131868
isophonics_0,isophonics_121,0.1291208791208791
isophonics_0,isophonics_127,0.1785714285714285
isophonics_0,isophonics_128,0.200501253132832
isophonics_0,isophonics_133,0.1651785714285714
isophonics_0,isophonics_135,0.1642036124794745
isophonics_0,isophonics_136,0.1507936507936507
isophonics_0,isophonics_147,0.1428571428571428
isophonics_0,isophonics_149,0.2202380952380952
isophonics_0,isophonics_150,0.1547619047619047
isophonics_0,isophonics_152,0.1721611721611721
isophonics_0,isophonics_156,0.2490842490842491
isophonics_0,isophonics_157,0.3273809523809524
isophonics_0,isophonics_165,0.1507936507936507
isophonics_0,isophonics_166,0.2214285714285714
isophonics_0,isophonics_168,0.1183035714285714
isophonics_0,isophonics_171,0.1231527093596059
isophonics_0,isophonics_173,0.1109022556390977
isophonics_0,isophonics_174,0.1666666666666666
isophonics_0,isophonics_180,0.1417497231450719
isophonics_0,isophonics_182,0.1785714285714285
isophonics_0,isophonics_184,0.1366459627329192
isophonics_0,isophonics_193,0.2666666666666666
isophonics_0,isophonics_196,0.1711309523809523
isophonics_0,isophonics_197,0.1168831168831168
isophonics_0,isophonics_199,0.1322751322751322
isophonics_0,isophonics_200,0.1948051948051948
isophonics_0,isophonics_204,0.1339285714285714
isophonics_0,isophonics_212,0.1314285714285714
isophonics_0,isophonics_213,0.1964285714285714
isophonics_0,isophonics_216,0.1198156682027649
isophonics_0,isophonics_217,0.2582417582417582
isophonics_0,isophonics_223,0.1785714285714285
isophonics_0,isophonics_224,0.1577380952380952
isophonics_0,isophonics_229,0.1651785714285714
isophonics_0,isophonics_231,0.129136400322841
isophonics_0,isophonics_235,0.2063492063492063
isophonics_0,isophonics_242,0.1693121693121693
isophonics_0,isophonics_243,0.1547619047619047
isophonics_0,isophonics_248,0.1619047619047618
isophonics_0,isophonics_257,0.1168831168831168
isophonics_0,isophonics_259,0.1714285714285714
isophonics_0,isophonics_265,0.1868131868131868
isophonics_0,isophonics_273,0.1168831168831168
isophonics_0,isophonics_274,0.1285714285714285
